Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-08-01","2,833","11,175","5.19","0","617","353","24","19","1,542"
"2018-08-02","2,486","7,957","3.69","0","669","242","30","1","1,059"
"2018-08-03","3,021","15,251","7.08","0","428","334","70","19","1,778"
"2018-08-04","2,639","8,535","3.96","0","600","343","20","0","1,316"
"2018-08-05","2,695","11,974","5.56","0","598","172","16","66","1,251"
"2018-08-06","2,337","6,307","2.93","0","775","191","6","2","796"
"2018-08-07","2,435","7,014","3.26","0","727","229","18","2","963"
"2018-08-08","2,438","7,580","3.52","0","792","213","8","2","933"
"2018-08-09","2,348","5,471","2.54","0","690","158","16","2","694"
"2018-08-10","2,548","8,943","4.15","0","579","271","18","2","1,142"
"2018-08-11","2,701","9,612","4.46","0","665","346","24","1","1,384"
"2018-08-12","2,919","14,238","6.61","0","570","260","3","71","1,566"
"2018-08-13","3,079","17,637","8.19","0","589","203","135","39","1,781"
"2018-08-14","2,669","9,532","4.42","0","585","329","21","0","1,323"
"2018-08-15","2,424","6,913","3.21","0","578","239","5","11","977"
"2018-08-16","2,633","9,079","4.21","0","565","317","19","0","1,272"
"2018-08-17","2,787","12,962","6.02","0","612","185","34","64","1,360"
"2018-08-18","3,154","17,202","7.98","0","559","278","32","86","1,872"
"2018-08-19","2,404","6,610","3.07","0","616","224","32","0","952"
"2018-08-20","2,305","5,696","2.64","0","743","190","8","7","792"
"2018-08-21","2,594","8,913","4.14","0","534","316","8","0","1,231"
"2018-08-22","2,711","11,872","5.51","0","687","164","15","69","1,243"
"2018-08-23","2,805","12,260","5.69","0","543","260","12","51","1,433"
"2018-08-24","2,935","15,474","7.18","0","681","173","24","92","1,520"
"2018-08-25","2,816","12,762","5.92","0","576","240","4","66","1,436"
"2018-08-26","3,124","16,373","7.6","0","530","362","91","17","1,936"
"2018-08-27","2,890","14,205","6.59","0","662","225","22","69","1,509"
"2018-08-28","2,719","10,664","4.95","0","649","340","19","0","1,396"
"2018-08-29","2,584","8,921","4.14","0","635","254","13","18","1,159"
"2018-08-30","2,894","14,911","6.92","0","583","183","34","77","1,496"
"2018-08-31","3,406","22,835","10.6","0","473","191","139","85","2,153"

