Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-04-01","3,053","16,345","7.59","0","487","323","94","22","1,840"
"2019-04-02","3,282","20,575","9.55","0","443","253","108","79","2,083"
"2019-04-03","3,017","16,898","7.84","0","486","245","45","73","1,722"
"2019-04-04","2,813","12,142","5.64","0","544","356","17","12","1,527"
"2019-04-05","3,208","20,617","9.57","0","492","209","97","72","1,937"
"2019-04-06","2,860","13,847","6.43","0","465","333","27","8","1,564"
"2019-04-07","2,885","14,295","6.64","0","529","319","68","6","1,627"
"2019-04-08","2,863","13,173","6.11","0","559","337","49","10","1,593"
"2019-04-09","3,090","17,434","8.09","0","506","293","53","62","1,843"
"2019-04-10","2,295","6,097","2.83","0","628","199","10","2","820"
"2019-04-11","2,536","10,090","4.68","0","672","170","39","37","1,095"
"2019-04-12","2,715","11,813","5.48","0","642","297","33","8","1,381"
"2019-04-13","2,776","12,183","5.65","0","547","303","35","14","1,418"
"2019-04-14","3,198","18,741","8.7","0","492","311","70","62","1,999"
"2019-04-15","2,796","12,774","5.93","0","528","308","65","3","1,509"
"2019-04-16","2,475","7,213","3.35","0","529","300","7","0","1,102"
"2019-04-17","2,479","7,317","3.4","0","588","305","0","0","1,105"
"2019-04-18","2,713","11,850","5.5","0","764","281","54","7","1,384"
"2019-04-19","2,729","12,458","5.78","0","1,440","0","0","0","0"
"2019-04-20","2,394","7,253","3.37","0","1,440","0","0","0","0"
"2019-04-21","2,026","3,719","1.73","0","1,440","0","0","0","0"
"2019-04-22","2,337","6,484","3.01","0","1,440","0","0","0","0"
"2019-04-23","2,517","9,171","4.26","0","1,440","0","0","0","0"
"2019-04-24","2,940","14,324","6.65","0","1,440","0","0","0","0"
"2019-04-25","2,619","10,191","4.73","0","1,196","165","10","8","696"
"2019-04-26","3,004","14,858","6.9","0","566","398","47","13","1,810"
"2019-04-27","2,366","6,654","3.09","0","683","256","0","0","935"
"2019-04-28","2,172","4,658","2.16","0","740","158","7","0","622"
"2019-04-29","2,499","8,851","4.11","0","752","246","32","2","1,091"
"2019-04-30","2,426","7,794","3.62","0","726","214","21","19","1,004"

